10 100
1 4000 10
2 4000 10
3 1000 30
4 3000 90
5 1000 50
6 3000 60
7 4000 60
8 2000 60
9 3000 80
10 4000 90
11 1000 100
12 3000 100
13 1000 10
14 4000 70
15 3000 20
16 2000 20
17 2000 100
18 2000 40
19 3000 70
20 1000 40
21 3000 10
22 3000 20
23 3000 60
24 2000 30
25 2000 70
26 1000 100
27 3000 60
28 4000 30
29 4000 100
30 1000 90
31 4000 30
32 2000 60
33 2000 30
34 2000 80
35 1000 50
36 4000 30
37 1000 20
38 2000 20
39 2000 20
40 3000 20
41 3000 90
42 2000 50
43 3000 40
44 3000 10
45 3000 80
46 3000 60
