10 100
1 3000 50
2 1000 70
3 1000 10
4 4000 80
5 4000 20
6 4000 70
7 2000 10
8 1000 80
9 3000 20
10 4000 80
11 4000 30
12 4000 40
13 1000 10
14 1000 100
15 3000 60
16 1000 20
17 1000 20
18 4000 80
19 4000 70
20 4000 20
21 3000 80
22 1000 20
23 2000 60
24 1000 80
25 3000 20
26 2000 20
27 4000 100
28 2000 50
29 2000 50
30 1000 70
31 2000 30
32 4000 40
33 1000 20
34 3000 100
35 2000 10
36 1000 80
37 3000 100
38 3000 90
39 1000 100
40 2000 20
41 2000 30
42 2000 80
43 3000 20
44 3000 40
45 3000 90
46 2000 10
47 2000 50
48 3000 90
49 3000 70
