10 100
1 3000 50
2 1000 50
3 3000 20
4 4000 60
5 2000 30
6 4000 30
7 2000 60
8 4000 70
9 3000 10
10 2000 100
11 2000 100
12 2000 60
13 3000 40
14 2000 50
15 4000 20
16 4000 70
17 1000 20
18 3000 30
19 3000 30
20 2000 20
21 3000 90
22 4000 80
23 2000 20
24 2000 70
25 3000 90
26 3000 70
27 2000 10
28 1000 50
29 3000 20
30 4000 50
31 4000 60
32 4000 20
33 2000 20
34 1000 60
35 1000 50
36 3000 100
37 3000 50
38 2000 80
39 3000 60
40 1000 20
41 3000 40
42 3000 70
43 4000 30
44 3000 100
45 3000 50
46 2000 90
47 4000 70
48 2000 100
49 3000 60
50 3000 30
