10 100
1 2000 60
2 3000 30
3 4000 80
4 3000 80
5 4000 20
6 4000 60
7 4000 40
8 4000 60
9 2000 10
10 1000 70
11 1000 80
12 2000 70
13 4000 80
14 4000 10
15 2000 20
16 2000 10
17 1000 70
18 4000 60
19 1000 90
20 3000 70
21 1000 20
22 3000 20
23 3000 40
24 3000 90
25 1000 30
26 3000 20
27 2000 60
28 1000 10
29 2000 30
30 3000 60
31 2000 10
32 1000 20
33 2000 20
34 1000 10
35 1000 20
36 1000 20
37 2000 40
38 2000 20
39 3000 30
40 2000 70
41 1000 80
42 3000 90
43 3000 90
44 2000 70
45 1000 10
46 2000 60
47 3000 10
48 3000 10
