10 100
1 2000 70
2 3000 10
3 1000 60
4 3000 80
5 3000 20
6 4000 40
7 2000 100
8 2000 90
9 1000 40
10 4000 90
11 4000 90
12 1000 60
13 3000 50
14 4000 80
15 4000 60
16 4000 90
17 2000 40
18 2000 40
19 4000 30
20 1000 10
21 1000 90
22 2000 60
23 2000 70
24 3000 50
25 3000 60
26 2000 60
27 4000 90
28 4000 60
29 3000 50
30 3000 70
31 1000 80
32 1000 30
33 2000 90
34 1000 60
35 1000 100
36 4000 40
37 4000 20
38 1000 70
39 1000 70
40 2000 20
41 3000 60
42 2000 50
43 1000 20
44 2000 20
45 3000 40
46 4000 70
47 1000 80
48 3000 80
49 4000 80
