10 100
1 3000 50
2 4000 70
3 1000 20
4 4000 40
5 4000 20
6 4000 50
7 3000 50
8 4000 40
9 3000 80
10 2000 50
11 3000 50
12 3000 30
13 3000 10
14 1000 80
15 4000 60
16 4000 20
17 1000 80
18 2000 100
19 3000 100
20 2000 10
21 2000 60
22 4000 60
23 1000 50
24 3000 90
25 4000 20
26 2000 30
27 4000 70
28 4000 60
29 1000 70
30 4000 90
31 2000 70
32 3000 40
33 2000 100
34 2000 70
35 4000 10
36 4000 60
37 2000 60
38 3000 90
39 3000 50
40 3000 50
41 4000 30
42 4000 40
43 2000 60
44 3000 80
45 2000 10
46 3000 30
47 2000 60
48 3000 50
