10 100
1 1000 90
2 2000 20
3 4000 20
4 2000 100
5 3000 90
6 4000 100
7 3000 50
8 4000 40
9 1000 20
10 3000 20
11 4000 40
12 3000 60
13 1000 80
14 1000 10
15 3000 90
16 1000 70
17 3000 70
18 3000 100
19 4000 10
20 3000 40
21 2000 50
22 2000 20
23 1000 50
24 3000 30
25 3000 60
26 2000 90
27 4000 40
28 1000 50
29 2000 70
30 1000 10
31 1000 50
32 1000 40
33 1000 90
34 4000 80
35 3000 40
36 2000 90
37 1000 80
38 4000 10
39 1000 80
40 1000 100
41 1000 80
42 4000 30
43 2000 70
44 3000 70
45 2000 40
46 2000 100
