10 100
1 1000 80
2 2000 70
3 3000 30
4 2000 30
5 3000 40
6 3000 60
7 1000 10
8 1000 10
9 1000 50
10 2000 20
11 3000 80
12 3000 50
13 4000 10
14 2000 30
15 3000 50
16 4000 90
17 4000 10
18 1000 70
19 3000 60
20 4000 70
21 1000 100
22 3000 70
23 3000 50
24 3000 70
25 1000 100
26 4000 50
27 3000 60
28 2000 10
29 1000 80
30 1000 60
31 1000 30
32 3000 80
33 1000 10
34 4000 100
35 3000 40
36 4000 70
37 2000 70
38 3000 60
39 2000 20
40 4000 50
41 3000 30
42 3000 90
43 4000 90
44 1000 80
45 2000 70
46 4000 10
