10 100
1 3000 80
2 4000 10
3 2000 70
4 2000 10
5 3000 40
6 4000 80
7 1000 10
8 1000 50
9 1000 30
10 2000 10
11 3000 10
12 4000 20
13 1000 80
14 3000 90
15 3000 50
16 2000 50
17 1000 70
18 3000 100
19 3000 20
20 2000 60
21 1000 90
22 4000 20
23 3000 70
24 2000 40
25 1000 90
26 2000 20
27 3000 60
28 1000 50
29 3000 90
30 1000 60
31 1000 10
32 4000 100
33 1000 40
34 4000 10
35 1000 100
36 4000 20
37 4000 10
38 1000 10
39 2000 40
40 4000 10
41 3000 100
42 3000 40
43 1000 70
44 4000 40
45 3000 50
46 3000 30
