10 100
1 2000 100
2 2000 30
3 1000 10
4 3000 20
5 2000 30
6 2000 10
7 3000 10
8 3000 90
9 1000 30
10 3000 80
11 2000 30
12 2000 30
13 2000 100
14 2000 80
15 2000 90
16 2000 60
17 1000 90
18 3000 10
19 3000 30
20 2000 20
21 2000 70
22 2000 80
23 1000 10
24 1000 50
25 2000 90
26 2000 100
27 3000 20
28 3000 40
29 1000 30
30 2000 100
31 4000 60
32 1000 100
33 2000 70
34 2000 70
35 3000 30
36 3000 80
37 4000 30
38 1000 100
39 2000 40
40 3000 70
41 3000 60
42 3000 60
43 1000 20
44 2000 100
45 4000 20
46 3000 70
