10 100
1 2000 90
2 3000 80
3 3000 70
4 4000 50
5 2000 100
6 3000 40
7 3000 90
8 1000 100
9 4000 60
10 2000 100
11 4000 60
12 1000 30
13 1000 50
14 2000 10
15 1000 90
16 2000 60
17 2000 90
18 4000 30
19 3000 30
20 4000 100
21 3000 70
22 3000 60
23 4000 20
24 2000 20
25 2000 80
26 4000 60
27 1000 50
28 2000 10
29 4000 70
30 3000 80
31 3000 20
32 4000 40
33 1000 10
34 3000 80
35 1000 20
36 1000 70
37 4000 60
38 2000 60
39 4000 100
40 3000 50
41 2000 100
42 1000 10
43 2000 20
44 2000 50
45 3000 60
46 3000 60
47 2000 90
48 1000 20
